Position,Company,Location,Industry,Posted On,Extracted On,Job Type,Qualification,Job Description,Job Id,Experience,Start Date,End Date,Source
Innovation Analyst,Russell Investments,"Seattle, WA",Financial Services,,,,"Candidates must be enrolled full time in a 4-year college or university, and have a minimum overall GPA of 3.0 or higher.

Preference will be given to candidates majoring in Finance, Business Administration, Marketing, or other related majors.
Must be available 40 hours per week.
Applicants must be progressing towards earning a Bachelor's degree at time of employment. Students graduating prior to the start of an internship are not eligible.","The responsibilities of the individual in this position include:

Partnering with associates from the business solutions team to bring research projects to completion.
Creating data mining processes.
Providing ad-hoc project support (coordination, analysis, technical) for various teams which may include product, consulting, operations, or sales.
Researching key industry trends.
Researching key advisor and client statistics
Creating PowerPoint presentations.
Research innovation strategies (Technology, CRM, Communications)",,"Possess the ability to analyze of information from different sources and the ability to integrate that research into a cohesive message.
Proficiency working with Excel, Word, and MS Outlook. Experience working with database applications and PowerPoint is also desired.
Candidates must be detail oriented, possess excellent oral and written communication skills, and manage multiple tasks and deadlines in a fast-paced environment.","May, June 2021",,https://www.internships.com/posting/sam_4027341537
SAP Concur iXp Intern - Client Success,SAP,"Bellevue, WA",Computer Software,,,,,"Research business challenges related to Customer Performance Indicators (CPI), take action to identify and suggest resolution to these problems -    Talk with customers and document business practices and improvement opportunities that could impact the longevity of success with our customers  -    Using multiple reporting tools (Tableau, Salesforce.com, Excel) build and/or run reports to gather data across various areas of our business -   Create presentations to share with organizational stakeholders, research and recommendations for process improvement",,NA,Jun-21,August 2021 ,https://www.internships.com/posting/wup_886187467092573-42241
Graduate Internship,Truveta,"Seattle, WA","Health, Wellness and Fitness",,,,"Currently pursuing a master's or PhD degree in engineering, computer science or related field
","Beyond core capabilities, we are seeking problem solvers, passionate and collaborative teammates who are interested in working on meaningful and impactful projects that make a difference.

Types of Roles
Software Engineer
Data Engineer
Data Science
",,"Demonstrated skill in time management and completing projects in a collaborative team environment
Previous internship experience working in a technical or engineering environment
Located in the Seattle, WA area or willing to reside in Seattle for the duration of the internship (provided travel is allowed due to Covid restrictions)",,,https://www.internships.com/posting/sam_4027245074
User Experience,"Accolade, Inc.","Seattle, WA",Healthcare Domain ,,,,"0-3 years of experience in a similar role and user-centric design environment.
","Work closely with UX team and and other product stakeholders to translate business and customer goals into user value, using user-centered design techniques.
Be a strong advocate for the user – evangelizing user-centered design practices and the importance of usability within the development groups, our company, and other cross-functional organizations.
Translate existing processes and workflows into new modern experiences – following an established set of design guidelines and helping refine our style guide as the products evolve.
Create prototypes to demonstrate functionality for user testing and presenting concepts to stakeholders.
Lead discovery research to analyze user needs, behaviors, attitudes; then translate research findings into clear insights and actionable recommendations.
Present findings to stakeholders using compelling deliverables that provide clear results, actionable insights, and recommended next steps.
Help lead iterative research throughout the design process to vet concepts and validate designs.
Collaborate between cross-functional teams spread out between multiple locations and time zones to drive the best solution.",,"Understanding of user-centered design methods with a deep knowledge and application of user-centeric philosophies and interaction design best practices
A portfolio showcasing designs for multiple digital platforms and screen sizes including web, mobile, and responsive design.
Strong visual and interactive design skills; attention to detail down to pixel perfect execution
Experience working with and contributing to a set of design and interaction guidelines to drive consistency across a large product suite
Prototyping skills using tools like Axure to demonstrate rich interaction; familliarity with HTML and CSS is a plus
Experience with information architecture, task-flow models, storyboarding, wire-framing, creating design specifications and guidelines
Experience conducting focus groups and interviews, running usability tests, evaluating user feedback and successfully translating the findings to design solutions
Experience presenting findings to various stakeholders, leveraging research and data to tell a meaningful story about the user and delivering actionable insights.
Self-motivated, highly communicative, follows direction, and is able to balance great design with meeting short deadlines",,,https://www.internships.com/posting/sam_3771809356
Wealth Management Intern,Columbia State Bank,"Tacoma, WA","Banking, Financial Servicess and Insurance (BFSI)",,,,"
Currently enrolled in college or graduate level courses and pursuing a degree/advanced degree in a relevant or related field of interest
Provide proof of 3.0 GPA or better (an official transcript is required)
Commit to 8+ weeks of continuous, full-time work during the summer
Must provide own living arrangements and transportation","Involvement in building and maintaining private banking relationships
Discovering CB Financial and Trust client needs and determining solutions to meet those needs
Understanding client’s financial analysis (income statements, cash flow, spreads, etc.)
Conducts pricing model to establish profitability
Reviews and maintains client files for completeness, including reviewing loan documentation packages, ordering and reviewing credit reports, reviewing preliminary title reports, appraisals, environmental reports, etc. Ensure all files include current financial statements, agency reports, etc.
Maintains a current knowledge of banking/financial terminology and regulations.
Read, understand, and follow Columbia Bank's loan policy and all pertinent Standard Operating Procedures.
Participate in training opportunities as presented.
Maintain regular and reliable attendance.
Perform related duties and responsibilities as required.",,"Working knowledge of Microsoft Office Suite (Excel, Word, Power Point, etc.)
General understanding of data analysis as it relates to banking
General understanding of customer service",,,https://www.internships.com/posting/sam_3795181259
"Platform Engineering Intern, Enterprise Tech - Remote Summer 2021",The Walt Disney Company (Corporate),"Seattle, WA",Entertainment,,,,"Required EducationFreshman, Sophomore, Junior, or Senior level student or recent graduate pursuing a Bachelor's Degree in Computer Science, Computer Engineering, Management Information Systems or related field.
Preferred Education
Additional Information:Internship Eligibility:
Must be enrolled in an accredited college/university taking at least one class in the semester/quarter (spring/fall) prior to participation in the internship program OR must have graduated from a college/university within 18 months OR currently participating in a Disney College Program or Disney Professional Internship
Must be at least 18 years of age
Must not have completed one year of continual employment on a Disney internship or program
Must possess unrestricted work authorization
Must provide full work availability
Must provide own transportation to/from work (if it becomes in-person)
Current Active Disney cast members must meet Professional Internship transfer guidelines (for Walt Disney World cast members this is no more than four points and one reprimand in the last six months; for Disneyland cast members this is six months of consecutive service and a performance record clear of any disciplinary issues (warnings, suspensions, etc.) for at least six months)","Responsibilities:You will work on expanding the service platform to build frameworks for policy creation, testing, and deployment that will empower customers to quickly create custom policies through self-service and increase community contribution across Enterprise Technology, TWDC Segments, and Information Security. You will be working with the stateless rules engine that can manage public cloud accounts and resources supporting AWS, Azure & GCP. It integrates with the cloud native serverless capabilities of each provider to provide for real-time enforcement of policies with built-in provisioning.


Preferred Qualifications:
Interest in serverless such as AWS Lambda
Interest in API development
Interest in UI development",,"Experience with data query language like SQL or similar
Familiarity with database concepts
Experience with JavaScript and/or Python
Experience with AWS or cloud technologies
Collaborative work-ethic
Excellent communication skills
Detail oriented
Ownership and passion for technology",May/June,,https://www.internships.com/posting/sam_4027000193
Application Security,"Accolade, Inc.","Seattle, WA",Healthcare Domain ,,,,"Studying Computer Science or related technical field OR Relevant work experience in web application security.
","As an Application Security Intern at Accolade you will help ensure that our software and systems are designed and implemented to the highest security standards. You will perform technical security assessments, code reviews and penetration testing to highlight risk and help Accolade improve security. You will also work closely with Accolade Engineers to design and build proactive methods to enhance our security posture. You will enjoy working on a wide variety of software designs and technology stacks, with further option to specialize and/or perform research in a number of attack and defense fields.

A day in the life...
Assist in aligning the Accolade Application Security program with OWASP best practices.
Perform both manual and automated penetration and vulnerability testing.
Develop recommendations on static, dynamic, and interactive application security testing tools.
Advocate security and secure practices throughout Accolade.
Conduct research to identify new attack vectors against Accolade’s products and services.",,"Software development experience.
Foundation in and in-depth technical knowledge of security engineering, computer and network security, authentication, security protocols and applied cryptography.
Self-motivated and results-oriented.
Excellent interpersonal and communication good skills.",,,https://www.internships.com/posting/sam_3771808887
College Intern Pilot Environmental Data Analysis,Port of Seattle,"Seattle, WA",Video games,,,,"Must be currently enrolled in an undergraduate or a recent graduate (< 1 year ago) in a degree program such as data science, environmental engineering, physical or environmental sciences. Use of Technology - ","This summer internship position will complete various tasks directly supporting the Aviation Environmental Department, predominantly the Climate Protection program, with data gathering, data labeling, time series analysis, and other analysis techniques. This internship will directly engage in a collaborative project between the Port of Seattle and Microsofts AI for Earth to use sound data and machine learning models to determine when aircraft parked at the gate are running their auxiliary power units (APUs). The intern will be introduced to Machine Learning using the Python programming language. This intern will work directly with a Port staff atmospheric scientist who will guide data analysis approaches, but is not a machine learning specialist. The intern will collaborate regularly with other interns in the Ports Information and Communications Technology team who will perform higher-level data coding and machine learning tasks. Some of your essential duties include: * Learn about/training on machine learning basics * Learn and use data labeling tools to create machine learning datasets using sound files * Gather airport energy data for greenhouse gas emission inventories * Participate in meetings with other technical team members * Build small tools in Excel, Python, etc to manage datasets ",,"You must have strong technical skills and some experience managing and analyzing large amounts of data, preferably as a time series. Strong skills in Microsoft Excel also required Organized and proactive - You possess good organizational skills. Youre able to work through a logical methodology and identify individual steps required to reach a desired outcome. Desired - We hope you had an introduction to programming using one of the following languages: Python, Go, C#, Swift, Java, TypeScript, JavaScript, Ruby or BASIC",Summer 2021,,https://www.internships.com/posting/bug_38962862175
Data Scientist Intern,"Innsightful, Inc.",Remote,"Health, Wellness and Fitness",,,,"Pursuing an MS/Ph.D. Degree in a quantitative field (e.g., science, computer science, statistics, engineering, bioengineering economics)","Utilize artificial neural nets to model biosignals for understanding human emotions. We expect the candidate to:

·       Identify potential data sources. Conduct exploratory data analyses. 

·        Utilize CNN, RNN, and other models and to build predictive models and forecasts.

·        Establish model evaluation metrics. Evaluate model performance. Interpret and present the model conclusions to help drive future steps.    
·       Interested in mental health and managing stress and anxiety       

·   ",Eng-ML-02,"    Experience with artificial neural nets, machine learning, and other advanced analytical methods

·       Must have a strong interest in using data mining and statistical models to model data

·        good data cleaning and data mining skills with strong attention to details

·        Experience with a scripting language, preferably Python

·        Self-motivated; independent, organized, and proactive; highly responsive, flexible

·        Strong creative and critical thinking skills

·        Have the ability to work continuously for at least 2 months.",1/5/2021,17 Weeks,https://www.internships.com/posting/9d7ef65c-a467-48cf-bdf4-0b210e2df6e7
Database Marketing,Costco Wholesale,"Seattle, WA",Retail/Ecommerce,,,,"
Must be maintaining a GPA of 3.0 or higher.
Must be students currently enrolled in an IT undergraduate or graduate program at a community college, college or university or a recent graduate.

Recommended
Enrolled in an undergraduate or graduate program with the focus on Data Science, Statistics, Business Analytics or similar discipline.
Costco warehouse, Ecommerce or retail experience is a plus.","Works with stakeholders to identify solutions that support their business requirements.
Works independently and within a team environment.
Pays attention to detail, self-motivated with the ability to follow instructions and complete assignments on time.
Learns and applies new concepts, processes and tools.
Takes initiative to solve problems and multi-tasks by prioritizing projects and deadlines.
Communicates effectively with team members, stakeholders and all levels of management.
Tells stories through modern visualization techniques and present to stakeholders.
Performs advanced data analysis to support any area of Costco’s business.
Builds and trains data models to solve business questions and aid decision making.",,"Must possess excellent verbal and written communication skills.
Possess good organizational, time, and project management skills, with the ability to prioritize, and stay well organized.
Enthusiasm for helping Costco use data effectively to evaluate and improve business insights.
Experience providing visualizations and storytelling for business decision-making.
Comfortable working in both business and technical environments.
Strong logical thinking skills with the ability to think creatively in order to envision relationships between data.
Resourceful, self-motivated and able to meet responsibilities with minimal direct supervision.
Accountable team player with a constructive attitude, problem-solving and customer service mindset.",,,NA
